MERCHANT_0000077,PetPal,BOOKSTORE,USA
MERCHANT_0000078,Cafe Central,GAS_STATION,USA
MERCHANT_0000079,HomeDecor,PET_STORE,China
MERCHANT_0000080,HealthFirst,CLOTHING,Australia
MERCHANT_0000081,TravelNow,GAS_STATION,Czech Republic
MERCHANT_0000082,HealthFirst,GAS_STATION,USA
MERCHANT_0000083,PetPal,BOOKSTORE,Singapore
MERCHANT_0000084,HealthFirst,GROCERY,USA
MERCHANT_0000085,BookCorner,ELECTRONICS,USA
MERCHANT_0000086,TravelNow,ELECTRONICS,Australia
MERCHANT_0000087,BookCorner,HOME_GOODS,UK
MERCHANT_0000088,BookCorner,GAS_STATION,Singapore
MERCHANT_0000089,BookCorner,PET_STORE,Singapore
MERCHANT_0000090,StyleHub,ELECTRONICS,Singapore
MERCHANT_0000091,BookCorner,BOOKSTORE,Australia
MERCHANT_0000092,BookCorner,BOOKSTORE,China
MERCHANT_0000093,HomeDecor,BOOKSTORE,China
MERCHANT_0000094,HealthFirst,CLOTHING,Australia
MERCHANT_0000095,HealthFirst,TRAVEL,USA
MERCHANT_0000096,BookCorner,TRAVEL,UK
MERCHANT_0000097,FuelPlus,TRAVEL,UK
MERCHANT_0000098,HomeDecor,GROCERY,USA
MERCHANT_0000099,Cafe Central,GROCERY,USA
MERCHANT_0000100,HealthFirst,GROCERY,China
